PAD NO.,CI NO.,DATE,COMPANY,DETAILS,PO NUMBER,AMOUNT,STATUS/REMARKS
,795,,BFP RXI,"NFO UNIFORM, 33@1545",,"50,985.00",
,796,03/15/23,BANGKO SENTRAL NG PILIPINAS,"TSHIRT VIOLET, 84@260",6500013046,"21,840.00",
,797,03/09/23,PAG-IBIG FUND,"SINTRA BOARD, 4@1450; SOFA ISLANDS",,"5,800.00",
,798,03/16/23,PHILHEALTH XI,TARPAULINS,23-03-035,"2,655.00",
,799,03/20/23,NIA XI,"POLOSHIRT, 104@400",MISC-2023-03-046,"41,600.00",
,800,03/20/23,PPA XI,"POLOSHIRT, 25@445",,"11,125.00",
2,801,03/10/23,PSA XI (DAVAO REGION),"PERSONALIZED MOUSEPAD, 30@53; USB 3.0 SPEED W/ 4 PORTS, 30@345",SOCD-2023-02-02,"11,940.00",
,802,03/17/23,NAPOLCOM XI,"POLOSHIRTS, 44@550",2303005,"24,200.00",
,803,03/18/23,DMSFI,"LANYARD, 1000@55",,"55,000.00",
,804,03/20/23,DMSFI,"TARPAULIN 4 X 6 FT, 2@360; TARPAULIN 5 X 9 FT, 1@675",,"1,395.00",
,805,03/23/23,NONVIOLENT PEACEFORCE,"NP UNIFORM W/ EMBROIDERY LOGO, 38@580; ARM SLEEVE, 38@75",,"24,890.00",CANCELLED
,806,03/07/23,NONVIOLENT PEACEFORCE,"NP UNIFORM W/ EMBROIDERY LOGO, 38@580; ARM SLEEVE, 38@75",,"24,890.00",
,807,03/10/23,PSA DAVAO DEL SUR,"JACKET W/ HOOD, 10@1950",PSA-DDS-23-08,"19,500.00",
,808,,PHILHEALTH XI,"PROMOTIONAL SHIRT, 346@480",PROIX 2022-12-108,"166,080.00",
,809,,PHILHEALTH XI,"MARKETING POLOSHIRTS FOR MALASAKIT PERSONNEL, 30@500",PROIX 2022-12-104,"15,000.00",
,810,,PHILHEALTH XI,"CORPORATE SHIRT, 54@500",,"27,000.00",
,811,03/28/23,LISAS MEAT,"MUGS W/ PRINT, 100@70",,"7,000.00",
,812,03/28/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TiVO REBRANDING 50%, 1@164850",110050,"164,850.00","329,700"
,813,04/01/23,ZUMMIT FOODS CORPORATION,"POLOSHIRT W/ EMBROIDERED LOGO, 24@350",,"8,400.00",
,814,04/05/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"ROLLUP BANNER, 3@1600",,"4,800.00",
,815,04/11/23,WESTERN INTERWEB NETWORK INC,PRINT CONVERGE FIBER,,"6,000.00",
,816,04/12/23,BSP,"STANDEE, 1@3200",,"3,200.00",
,817,04/15/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"HANGING TARP BACK TO BACK, 3 SETS@450; STANDEE ON SINTRA, 1@4000; PULL-UP TARP ONLY, 2@450",,"6,250.00",
,818,04/20/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TiVO REBRANDING 40%, 1@131880",110050,"131,880.00","329,700"
,819,04/20/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TiVO REBRANDING 10%, 1@32970",110050,"32,970.00","329,700"
,820,04/24/23,DTI XI,"TOTE BAG - GRAY, 50@248",2023-03-081,"12,400.00",
,821,04/26/23,PAG-IBIG FUND,"TARPAULIN BACKDROP LGU CARMEN 12 X 8 FT, 1@2500",HBC23-04-139,"2,500.00",
,822,04/26/23,PAG-IBIG FUND,"TARPAULIN BACKDROP LGU CARMEN 4 X 12 FT, 1@768",PAN23-04-019,768.00,
,823,04/26/23,DCCC,"RED POLOSHIRTS, 30@220; WHITE POLOSHIRTS, 24@220",,"13,200.00",
,824,04/18/23,INRIVER/DETAIL ONLINE TECHNOLOGY INC,"INRIVER PACKAGE, 50 SETS@1905",,"95,250.00",
,825,04/18/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,SHIRTS,180325,"115,580.00",
,826,04/22/23,DMSFI,"TARPAULIN 4X6, 4@360",,"1,440.00",
,827,04/26/23,DAVAO CONCRETE POLES CORPORATION,"POLOSHIRTS W/O POCKET, 25@480; POLOSHIRTS W/ POCKET, 23@480",,"23,040.00",CANCELLED
,828,04/26/23,DAVAO CONCRETE POLES CORPORATION,"TSHIRT W/ PRINTCOMPANY OUTING: SMALL 13@235, MEDIUM 45@235, LARGE 30@235, XL 15@245, 2XL 3@275",,"25,180.00",
,829,05/20/23,DAVAO CENTRAL CHEMICAL CORPORATION,"SACK PRINT, 500@7",,"3,500.00",
