PAD NO.,CI NO.,DATE,COMPANY,DETAILS,PO NUMBER,AMOUNT,STATUS/REMARKS
,1975,08/04/25,OFFICE PARTNERS 360,"HSI POLOSHIRT, 12@550, BANNER W/ TASSEL, 1@600; STANDEE W/ MECHANISM TEAM LOGO, 1@1400",5115,"8,600.00",
,1976,07/16/25,PSA DAVAO REGION,"CUSTOMIZED ID LANYARD, 30@95",SOCD-2025-07-04,"2,850.00",
,1977,,PSA XI,VARIOUS ITEMS,SOCD-2025-07-03,"131,599.00",
,1978,08/08/25,USEP,"MINI FAN, 60@740",2025-08-0908,"44,400.00",
,1979,,DILG XI,"BACKDROP, 2@1400; TARP, 4@730; ROLLUP TARP, 6@2100",2025-08-191,"18,320.00",
,1980,08/05/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"WELCOME TARP ROLLUP, 3@450",,"1,350.00",
,1981,08/11/25,OFFICE PARTNERS 360,"STANLEY TYPE TUMBLER, 10@900",5075,900.00,
,1982,08/12/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"TSHIRTS HEALTHIEST LOSER, 43@400",,"17,200.00",
,1983,08/13/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"INSULATION MUG, 20@240",235-395,"4,800.00",
,1984,08/13/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"60,609.00",
,1985,08/13/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"52,650.00",
,1986,08/09/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"BANNER. 1@1800; POLOSHIRTS, 21@1300",,"35,600.00",
,1987,08/14/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"STICKER, 150@3; TARP, 2@270",,970.00,
,1988,08/01/25,NIA DAVAO ORIENTAL,"POLOSHIRTS SUBLIMATION, 50@600",,"30,000.00",
,1989,08/01/25,NIA DAVAO ORIENTAL,"POLOSHIRTS EMBROIDERY, 51@650",,"33,150.00",
,1990,08/15/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"PULLOUT TARP, 3@450",,"1,350.00",
,1991,08/18/25,EMB XI,"WELCOME LEI, 50@235",ESWM2025-07-177,"11,750.00",
,1992,08/18/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"INSULATION MUG, 60@240",235629,"14,400.00",
,1993,08/18/25,DMSFI,"BANNER, 2 SETS@2500; TARP WELCOME STUDENT, 1@420; TARP FOUNDATION DAY, 7@420",,"8,360.00",
,1994,08/27/25,DMSFI,"ACRYLIC IVAME, 6@6000; PICTURE IVAME, 1@5000",,"41,000.00",
,1995,07/30/25,BFP XI,"CARGO PANTS, 12@2500; SUBLI POLOSHIRT, 12@750; RUBBER SHOES, 12@1500",2025-07-096,"57,000.00",
,1996,08/20/25,USEP,"CUSTOMIZED TOKEN, 6@950",2025-06-0758,"5,700.00",
,1997,08/21/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"TUMBLER, 8@250",,"2,000.00",
,1998,08/21/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"SUPPLY OF SIGNAGE, 24@200",,"4,800.00",
